,Infix_Eq,Prefix_Eg,Working,Infix_Sol,Prefix_Sol
0,"(1 / 2) = x
",(= (/ (1) (2)) (x)),True,x = 1/2,(= (x) (/ (1) (2)))
1,"(((-1) / x) * x) = -2x
",(= (* (/ (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
2,"((-1) + 2x) = (3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (-4))),True,x = 3,(= (x) (3))
3,"(-1x + (-2)) = (-3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
4,"(-1x + 2) = (-3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (4))),True,x = 1,(= (x) (1))
5,"(1x - 2) = -3x
",(= (- (* (1) (x)) (2)) (* (-3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
6,"1x = (((-2) + 3x) + 4)
",(= (* (1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1,(= (x) (-1))
7,"(-1) = ((-2) + ((-3) / x))
",(= (-1) (+ (-2) (/ (-3) (x)))),True,x = -3,(= (x) (-3))
8,"(((-1) - (2 / x)) * x) = -3x
",(= (* (- (-1) (/ (2) (x))) (x)) (* (-3) (x))),True,x = 1,(= (x) (1))
9,"(-1x / x) = -2x
",(= (/ (* (-1) (x)) (x)) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
10,"(-1x + (-2)) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (-4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
11,"((-1x - 2) + 3x) = (4x + 5x)
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (+ (* (4) (x)) (* (5) (x)))),True,x = -2/7,(= (x) (/ (-2) (7)))
12,"(1x + (-2)) = ((-3) + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
13,"((x - 1) - 2x) = 3x
",(= (- (- (x) (1)) (* (2) (x))) (* (3) (x))),True,x = -1/4,(= (x) (/ (-1) (4)))
14,"(1x - 2x) = (((3 - 4x) - 5) - 6x)
",(= (- (* (1) (x)) (* (2) (x))) (- (- (- (3) (* (4) (x))) (5)) (* (6) (x)))),True,x = -2/9,(= (x) (/ (-2) (9)))
15,"((1 / x) + 2) = (-3)
",(= (+ (/ (1) (x)) (2)) (-3)),True,x = -1/5,(= (x) (/ (-1) (5)))
16,"(-1) = ((2 / x) + 3)
",(= (-1) (+ (/ (2) (x)) (3))),True,x = -1/2,(= (x) (/ (-1) (2)))
17,"(1x + (-2)) = (-3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3/2,(= (x) (/ (3) (2)))
18,"((-1x + 2) - 3) = -4x
",(= (- (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
19,"(-1) = (2 + 3x)
",(= (-1) (+ (2) (* (3) (x)))),True,x = -1,(= (x) (-1))
20,"(1x + (-2)) = (3 + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1))
21,"((-1) / 2) = x
",(= (/ (-1) (2)) (x)),True,x = -1/2,(= (x) (/ (-1) (2)))
22,"((-1) / x) = (-2)
",(= (/ (-1) (x)) (-2)),True,x = 1/2,(= (x) (/ (1) (2)))
23,"(1x - 2) = ((-3) - 4x)
",(= (- (* (1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
24,"-1x = (2x + 3)
",(= (* (-1) (x)) (+ (* (2) (x)) (3))),True,x = -1,(= (x) (-1))
25,"(1 + -2x) = (-3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),True,x = -5,(= (x) (-5))
26,"(1 + -2x) = ((-3) + -4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),True,x = -2,(= (x) (-2))
27,"((-1) + (2 / x)) = 3
",(= (+ (-1) (/ (2) (x))) (3)),True,x = 1/2,(= (x) (/ (1) (2)))
28,"(-1x + 2x) = (-3)
",(= (+ (* (-1) (x)) (* (2) (x))) (-3)),True,x = -3,(= (x) (-3))
29,"(1 - (-2)) = (((3 / x) + (-4)) - (-5))
",(= (- (1) (-2)) (- (+ (/ (3) (x)) (-4)) (-5))),True,x = 3/2,(= (x) (/ (3) (2)))
30,"(1 / x) = 2
",(= (/ (1) (x)) (2)),True,x = 1/2,(= (x) (/ (1) (2)))
31,"((-1) + -2x) = (-3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (-4))),True,x = -3,(= (x) (-3))
32,"((-1x + 2) - 3x) = 4
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = -1/2,(= (x) (/ (-1) (2)))
33,"1 = ((-2) + -3x)
",(= (1) (+ (-2) (* (-3) (x)))),True,x = -1,(= (x) (-1))
34,"((-1) - 2x) = (3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
35,"((1x - 2) + 3) = ((4x - 5) + 6)
",(= (+ (- (* (1) (x)) (2)) (3)) (+ (- (* (4) (x)) (5)) (6))),True,x = 0,(= (x) (0))
36,"1 = ((2 - 3x) - 4x)
",(= (1) (- (- (2) (* (3) (x))) (* (4) (x)))),True,x = 1/7,(= (x) (/ (1) (7)))
37,"((1 + 2) * x) = 3
",(= (* (+ (1) (2)) (x)) (3)),True,x = 1,(= (x) (1))
38,"1 = (2 + (3 / x))
",(= (1) (+ (2) (/ (3) (x)))),True,x = -3,(= (x) (-3))
39,"x = (-1x + 2)
",(= (x) (+ (* (-1) (x)) (2))),True,x = 1,(= (x) (1))
40,"1 = (2x + 3)
",(= (1) (+ (* (2) (x)) (3))),True,x = -1,(= (x) (-1))
41,"(1 + 2x) = (3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3))
42,"1 = (((-2) / x) + (-3))
",(= (1) (+ (/ (-2) (x)) (-3))),True,x = -1/2,(= (x) (/ (-1) (2)))
43,"((-1) + -2x) = (-3)
",(= (+ (-1) (* (-2) (x))) (-3)),True,x = 1,(= (x) (1))
44,"((-1) + 2x) = (-3x + (-4))
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (-4))),True,x = -3/5,(= (x) (/ (-3) (5)))
45,"(1x - -2x) = 3
",(= (- (* (1) (x)) (* (-2) (x))) (3)),True,x = 1,(= (x) (1))
46,"((-1) + 2x) = (3x - 4)
",(= (+ (-1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 3,(= (x) (3))
47,"(1 / x) = (2 + 3)
",(= (/ (1) (x)) (+ (2) (3))),True,x = 1/5,(= (x) (/ (1) (5)))
48,"(-1x + 2) = (3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (-4))),True,x = 3/2,(= (x) (/ (3) (2)))
49,"(-1x + 2x) = ((-3) + 4)
",(= (+ (* (-1) (x)) (* (2) (x))) (+ (-3) (4))),True,x = 1,(= (x) (1))
50,"1x = (2 + 3)
",(= (* (1) (x)) (+ (2) (3))),True,x = 5,(= (x) (5))
51,"((-1) - 2x) = (3 - 4x)
",(= (- (-1) (* (2) (x))) (- (3) (* (4) (x)))),True,x = 2,(= (x) (2))
52,"(1 / 2) = (((-3) + 4x) / 5)
",(= (/ (1) (2)) (/ (+ (-3) (* (4) (x))) (5))),True,x = 11/8,(= (x) (/ (1) (1) (8)))
53,"1 = -2x
",(= (1) (* (-2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
54,"((-1) + -2x) = ((-3) + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (-4) (x)))),True,x = -1,(= (x) (-1))
55,"-1x = (-2)
",(= (* (-1) (x)) (-2)),True,x = 2,(= (x) (2))
56,"((-1) + -2x) = (3 + -4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (-4) (x)))),True,x = 2,(= (x) (2))
57,"(((-1) / x) + (-2)) = 3
",(= (+ (/ (-1) (x)) (-2)) (3)),True,x = -1/5,(= (x) (/ (-1) (5)))
58,"1 = ((-2) + (3 / x))
",(= (1) (+ (-2) (/ (3) (x)))),True,x = 1,(= (x) (1))
59,"(((-1) / x) + 2) = 3
",(= (+ (/ (-1) (x)) (2)) (3)),True,x = -1,(= (x) (-1))
60,"(1x + 2) = (3 - 4x)
",(= (+ (* (1) (x)) (2)) (- (3) (* (4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
61,"(1 + -2x) = 3
",(= (+ (1) (* (-2) (x))) (3)),True,x = -1,(= (x) (-1))
62,"(((-1) + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -4/3,(= (x) (/ (-4) (3)))
63,"1x = (2x + 3)
",(= (* (1) (x)) (+ (* (2) (x)) (3))),True,x = -3,(= (x) (-3))
64,"((-1x - 2) + 3) = 4x
",(= (+ (- (* (-1) (x)) (2)) (3)) (* (4) (x))),True,x = 1/5,(= (x) (/ (1) (5)))
65,"((1 - 2) / 3) = x
",(= (/ (- (1) (2)) (3)) (x)),True,x = -1/3,(= (x) (/ (-1) (3)))
66,"(-1) = (2 + ((-3) / x))
",(= (-1) (+ (2) (/ (-3) (x)))),True,x = 1,(= (x) (1))
67,"-1x = -2x
",(= (* (-1) (x)) (* (-2) (x))),True,x = 0,(= (x) (0))
68,"(1x + (-2)) = (-3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (-3) (x)) (-4))),True,x = -1/2,(= (x) (/ (-1) (2)))
69,"(-1x + (-2)) = (-3)
",(= (+ (* (-1) (x)) (-2)) (-3)),True,x = 1,(= (x) (1))
70,"(-1x - 2) = (3 + 4x)
",(= (- (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
71,"(-1x + 2) = (-3)
",(= (+ (* (-1) (x)) (2)) (-3)),True,x = 5,(= (x) (5))
72,"((-1) + 2x) = 3
",(= (+ (-1) (* (2) (x))) (3)),True,x = 2,(= (x) (2))
73,"(-1x + (-2)) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (-3) (* (4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
74,"(-1x + 2) = ((-3) + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1))
75,"((-1) + -2x) = (-3x + 4)
",(= (+ (-1) (* (-2) (x))) (+ (* (-3) (x)) (4))),True,x = 5,(= (x) (5))
76,"((-1) - 2x) = (-3)
",(= (- (-1) (* (2) (x))) (-3)),True,x = 1,(= (x) (1))
77,"(-1) = (-2x / (-3))
",(= (-1) (/ (* (-2) (x)) (-3))),True,x = -3/2,(= (x) (/ (-3) (2)))
78,"1x = (((2 - 3x) - 4) + 5x)
",(= (* (1) (x)) (+ (- (- (2) (* (3) (x))) (4)) (* (5) (x)))),True,x = 2,(= (x) (2))
79,"(((-1) / x) + (-2)) = (-3)
",(= (+ (/ (-1) (x)) (-2)) (-3)),True,x = 1,(= (x) (1))
80,"(1x + (-2)) = ((-3) + -4x)
",(= (+ (* (1) (x)) (-2)) (+ (-3) (* (-4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
81,"1x = (-2x - 3)
",(= (* (1) (x)) (- (* (-2) (x)) (3))),True,x = -1,(= (x) (-1))
82,"(-1) = x
",(= (-1) (x)),True,x = -1,(= (x) (-1))
83,"((1 + 2x) + 3x) = ((-4x + (-5)) + 6x)
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (-5)) (* (6) (x)))),True,x = -2,(= (x) (-2))
84,"((1 - (2 / x)) - 3) = (4 - 5)
",(= (- (- (1) (/ (2) (x))) (3)) (- (4) (5))),True,x = -2,(= (x) (-2))
85,"x = ((1 - 2) / (-3))
",(= (x) (/ (- (1) (2)) (-3))),True,x = 1/3,(= (x) (/ (1) (3)))
86,"(1 + -2x) = ((-3) + 4x)
",(= (+ (1) (* (-2) (x))) (+ (-3) (* (4) (x)))),True,x = 2/3,(= (x) (/ (2) (3)))
87,"1x = (2x / x)
",(= (* (1) (x)) (/ (* (2) (x)) (x))),True,x = 2,(= (x) (2))
88,"(1 + -2x) = (-3)
",(= (+ (1) (* (-2) (x))) (-3)),True,x = 2,(= (x) (2))
89,"(-1x + 2) = (3 + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (-4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
90,"1 = (2x + (-3))
",(= (1) (+ (* (2) (x)) (-3))),True,x = 2,(= (x) (2))
91,"1 = ((2 / x) + (-3))
",(= (1) (+ (/ (2) (x)) (-3))),True,x = 1/2,(= (x) (/ (1) (2)))
92,"(-1x + 2) = (3x + 4)
",(= (+ (* (-1) (x)) (2)) (+ (* (3) (x)) (4))),True,x = -1/2,(= (x) (/ (-1) (2)))
93,"(1x - -2x) = (-3)
",(= (- (* (1) (x)) (* (-2) (x))) (-3)),True,x = -1,(= (x) (-1))
94,"(-1x + 2) = 3
",(= (+ (* (-1) (x)) (2)) (3)),True,x = -1,(= (x) (-1))
95,"(1 + -2x) = (3 + 4x)
",(= (+ (1) (* (-2) (x))) (+ (3) (* (4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
96,"(-1) = ((2x + 3x) - 4)
",(= (-1) (- (+ (* (2) (x)) (* (3) (x))) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
97,"((-1x - 2) - 3x) = (-4)
",(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (-4)),True,x = 1/2,(= (x) (/ (1) (2)))
98,"-1x = ((-2) - 3)
",(= (* (-1) (x)) (- (-2) (3))),True,x = 5,(= (x) (5))
99,"(-1) = ((-2) + (3 / x))
",(= (-1) (+ (-2) (/ (3) (x)))),True,x = 3,(= (x) (3))
100,"x = (((-1) + 2) / 3)
",(= (x) (/ (+ (-1) (2)) (3))),True,x = 1/3,(= (x) (/ (1) (3)))
101,"((1 + 2x) - 3) = -4x
",(= (- (+ (1) (* (2) (x))) (3)) (* (-4) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
102,"-1x = ((2 / x) * x)
",(= (* (-1) (x)) (* (/ (2) (x)) (x))),True,x = -2,(= (x) (-2))
103,"((-1) - 2) = (3x - 4x)
",(= (- (-1) (2)) (- (* (3) (x)) (* (4) (x)))),True,x = 3,(= (x) (3))
104,"1 = (((-2) / x) + 3)
",(= (1) (+ (/ (-2) (x)) (3))),True,x = 1,(= (x) (1))
105,"1x = 2
",(= (* (1) (x)) (2)),True,x = 2,(= (x) (2))
106,"(1 - 2) = 3x
",(= (- (1) (2)) (* (3) (x))),True,x = -1/3,(= (x) (/ (-1) (3)))
107,"(1x + 2) = ((-3) + 4x)
",(= (+ (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
108,"(-1x + 2) = ((-3) + -4x)
",(= (+ (* (-1) (x)) (2)) (+ (-3) (* (-4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
109,"((-1) + 2) = 3x
",(= (+ (-1) (2)) (* (3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
110,"((-1) + -2x) = (3 + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (3) (* (4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
111,"-1x = (2 + 3)
",(= (* (-1) (x)) (+ (2) (3))),True,x = -5,(= (x) (-5))
112,"((-1) + 2x) = ((-3) + 4x)
",(= (+ (-1) (* (2) (x))) (+ (-3) (* (4) (x)))),True,x = 1,(= (x) (1))
113,"(1 + 2x) = 3
",(= (+ (1) (* (2) (x))) (3)),True,x = 1,(= (x) (1))
114,"(((-1) / x) * x) = 2x
",(= (* (/ (-1) (x)) (x)) (* (2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
115,"((-1) + 2x) = (-3)
",(= (+ (-1) (* (2) (x))) (-3)),True,x = -1,(= (x) (-1))
116,"(1 + 2x) = (-3x + 4)
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (4))),True,x = 3/5,(= (x) (/ (3) (5)))
117,"((-1) - 2) = (((3 / x) + 4) - 5)
",(= (- (-1) (2)) (- (+ (/ (3) (x)) (4)) (5))),True,x = -3/2,(= (x) (/ (-3) (2)))
118,"-1x = ((-2) + x)
",(= (* (-1) (x)) (+ (-2) (x))),True,x = 1,(= (x) (1))
119,"(-1x + 2) = 3x
",(= (+ (* (-1) (x)) (2)) (* (3) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
120,"1 = (2 + 3x)
",(= (1) (+ (2) (* (3) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
121,"(1x - 2) = ((-3) + 4x)
",(= (- (* (1) (x)) (2)) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
122,"-1x = (((-2) + 3x) + 4)
",(= (* (-1) (x)) (+ (+ (-2) (* (3) (x))) (4))),True,x = -1/2,(= (x) (/ (-1) (2)))
123,"(-1) = ((-2) + 3x)
",(= (-1) (+ (-2) (* (3) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
124,"(1x + 2) = (-3)
",(= (+ (* (1) (x)) (2)) (-3)),True,x = -5,(= (x) (-5))
125,"(-1) = ((2 / x) + (-3))
",(= (-1) (+ (/ (2) (x)) (-3))),True,x = 1,(= (x) (1))
126,"(1x + 2) = (-3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3/2,(= (x) (/ (-3) (2)))
127,"1 = (2x / 3)
",(= (1) (/ (* (2) (x)) (3))),True,x = 3/2,(= (x) (/ (3) (2)))
128,"(-1x + 2) = (3 + 4x)
",(= (+ (* (-1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1/5,(= (x) (/ (-1) (5)))
129,"1 = (2x - 3x)
",(= (1) (- (* (2) (x)) (* (3) (x)))),True,x = -1,(= (x) (-1))
130,"1 = ((-2) + ((-3) / x))
",(= (1) (+ (-2) (/ (-3) (x)))),True,x = -1,(= (x) (-1))
131,"(1 - 2x) = -3x
",(= (- (1) (* (2) (x))) (* (-3) (x))),True,x = -1,(= (x) (-1))
132,"(1 + ((-2) / x)) = (-3)
",(= (+ (1) (/ (-2) (x))) (-3)),True,x = 1/2,(= (x) (/ (1) (2)))
133,"x = ((1 + 2) / 3)
",(= (x) (/ (+ (1) (2)) (3))),True,x = 1,(= (x) (1))
134,"(-1) = ((-2) + -3x)
",(= (-1) (+ (-2) (* (-3) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
135,"(1 + (2 / x)) = 3
",(= (+ (1) (/ (2) (x))) (3)),True,x = 1,(= (x) (1))
136,"((-1) + 2x) = (3 + 4x)
",(= (+ (-1) (* (2) (x))) (+ (3) (* (4) (x)))),True,x = -2,(= (x) (-2))
137,"((1 + 2x) + 3) = 4x
",(= (+ (+ (1) (* (2) (x))) (3)) (* (4) (x))),True,x = 2,(= (x) (2))
138,"(1 + 2x) = (3 + 4x)
",(= (+ (1) (* (2) (x))) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
139,"1x = ((-2) - 3x)
",(= (* (1) (x)) (- (-2) (* (3) (x)))),True,x = -1/2,(= (x) (/ (-1) (2)))
140,"(1x + 2) = (3x + 4)
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (4))),True,x = -1,(= (x) (-1))
141,"(((-1) - 2x) + 3) = -4x
",(= (+ (- (-1) (* (2) (x))) (3)) (* (-4) (x))),True,x = -1,(= (x) (-1))
