,Infix_Eq,Prefix_Eg,Working,Infix_Sol,Prefix_Sol
142,"((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
",(= (- (+ (* (-1) (x)) (2)) (* (3) (x))) (- (+ (-4) (* (5) (x))) (* (6) (x)))),True,x = 2,(= (x) (2))
143,"(1x + 2) = ((-3) + -4x)
",(= (+ (* (1) (x)) (2)) (+ (-3) (* (-4) (x)))),True,x = -1,(= (x) (-1))
144,"((-1) + 2x) = ((-3) + -4x)
",(= (+ (-1) (* (2) (x))) (+ (-3) (* (-4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
145,"((1 / x) + (-2)) = (-3)
",(= (+ (/ (1) (x)) (-2)) (-3)),True,x = -1,(= (x) (-1))
146,"(1x / 2) = (3 / 4)
",(= (/ (* (1) (x)) (2)) (/ (3) (4))),True,x = 3/2,(= (x) (/ (3) (2)))
147,"((-1) - 2x) = -3x
",(= (- (-1) (* (2) (x))) (* (-3) (x))),True,x = 1,(= (x) (1))
148,"(1x + 2) = (-3x + 4)
",(= (+ (* (1) (x)) (2)) (+ (* (-3) (x)) (4))),True,x = 1/2,(= (x) (/ (1) (2)))
149,"((-1) + ((-2) / x)) = (-3)
",(= (+ (-1) (/ (-2) (x))) (-3)),True,x = 1,(= (x) (1))
150,"((1 + 2x) - 3) = 4x
",(= (- (+ (1) (* (2) (x))) (3)) (* (4) (x))),True,x = -1,(= (x) (-1))
151,"((-1) + -2x) = (3x + (-4))
",(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (-4))),True,x = 3/5,(= (x) (/ (3) (5)))
152,"(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
",(= (+ (+ (-1) (* (2) (x))) (* (3) (x))) (+ (+ (4) (* (-5) (x))) (* (6) (x)))),True,x = 5/4,(= (x) (/ (5) (4)))
153,"-1x = ((-2) + 3)
",(= (* (-1) (x)) (+ (-2) (3))),True,x = -1,(= (x) (-1))
154,"(-1x / (-2)) = (3 / (-4))
",(= (/ (* (-1) (x)) (-2)) (/ (3) (-4))),True,x = -3/2,(= (x) (/ (-3) (2)))
155,"(-1) = (-2x + 3)
",(= (-1) (+ (* (-2) (x)) (3))),True,x = 2,(= (x) (2))
156,"(1 + 2x) = ((-3) + 4x)
",(= (+ (1) (* (2) (x))) (+ (-3) (* (4) (x)))),True,x = 2,(= (x) (2))
157,"(1 + 2x) = (3 + -4x)
",(= (+ (1) (* (2) (x))) (+ (3) (* (-4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
158,"(-1) = (((-2) / x) + 3)
",(= (-1) (+ (/ (-2) (x)) (3))),True,x = 1/2,(= (x) (/ (1) (2)))
159,"-1x = (2x - 3)
",(= (* (-1) (x)) (- (* (2) (x)) (3))),True,x = 1,(= (x) (1))
160,"((1 + -2x) + 3x) = ((-4x + 5) + 6x)
",(= (+ (+ (1) (* (-2) (x))) (* (3) (x))) (+ (+ (* (-4) (x)) (5)) (* (6) (x)))),True,x = -4,(= (x) (-4))
161,"((-1) + -2x) = (3x + 4)
",(= (+ (-1) (* (-2) (x))) (+ (* (3) (x)) (4))),True,x = -1,(= (x) (-1))
162,"(1x + (-2)) = (3x + (-4))
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
163,"1 = (2 + ((-3) / x))
",(= (1) (+ (2) (/ (-3) (x)))),True,x = 3,(= (x) (3))
164,"((1 / x) + (-2)) = 3
",(= (+ (/ (1) (x)) (-2)) (3)),True,x = 1/5,(= (x) (/ (1) (5)))
165,"(-1x - 2) = (3 - 4x)
",(= (- (* (-1) (x)) (2)) (- (3) (* (4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
166,"-1x = ((2 + -3x) - 4)
",(= (* (-1) (x)) (- (+ (2) (* (-3) (x))) (4))),True,x = -1,(= (x) (-1))
167,"1 = (-2x + (-3))
",(= (1) (+ (* (-2) (x)) (-3))),True,x = -2,(= (x) (-2))
168,"(1 - 2) = (-3x - 4x)
",(= (- (1) (2)) (- (* (-3) (x)) (* (4) (x)))),True,x = 1/7,(= (x) (/ (1) (7)))
169,"((-1) - 2) = -3x
",(= (- (-1) (2)) (* (-3) (x))),True,x = 1,(= (x) (1))
170,"1 = (-2x + 3)
",(= (1) (+ (* (-2) (x)) (3))),True,x = 1,(= (x) (1))
171,"1 = ((-2) / x)
",(= (1) (/ (-2) (x))),True,x = -2,(= (x) (-2))
172,"(-1) = (2x + 3)
",(= (-1) (+ (* (2) (x)) (3))),True,x = -2,(= (x) (-2))
173,"1 = 2x
",(= (1) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
174,"(1 - 2) = -3x
",(= (- (1) (2)) (* (-3) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
175,"(1 + 2x) = -3x
",(= (+ (1) (* (2) (x))) (* (-3) (x))),True,x = -1/5,(= (x) (/ (-1) (5)))
176,"(1x - 2) = 3x
",(= (- (* (1) (x)) (2)) (* (3) (x))),True,x = -1,(= (x) (-1))
177,"(1x / x) = 2x
",(= (/ (* (1) (x)) (x)) (* (2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
178,"(-1x + (-2)) = (3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3/2,(= (x) (/ (-3) (2)))
179,"((1x - 2) + 3) = 4x
",(= (+ (- (* (1) (x)) (2)) (3)) (* (4) (x))),True,x = 1/3,(= (x) (/ (1) (3)))
180,"(-1) = ((2x + 3) + 4x)
",(= (-1) (+ (+ (* (2) (x)) (3)) (* (4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
181,"(1x + 2) = (3x + (-4))
",(= (+ (* (1) (x)) (2)) (+ (* (3) (x)) (-4))),True,x = 3,(= (x) (3))
182,"(1 + -2x) = (3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (4))),True,x = -3/5,(= (x) (/ (-3) (5)))
183,"(((-1) + 2x) + 3) = ((4 + 5x) + 6)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (+ (4) (* (5) (x))) (6))),True,x = -8/3,(= (x) (/ (-8) (3)))
184,"((-1) / x) = ((-2) - 3)
",(= (/ (-1) (x)) (- (-2) (3))),True,x = 1/5,(= (x) (/ (1) (5)))
185,"1x = (-2)
",(= (* (1) (x)) (-2)),True,x = -2,(= (x) (-2))
186,"((-1x + (-2)) - 3) = 4x
",(= (- (+ (* (-1) (x)) (-2)) (3)) (* (4) (x))),True,x = -1,(= (x) (-1))
187,"1x = (2 - 3)
",(= (* (1) (x)) (- (2) (3))),True,x = -1,(= (x) (-1))
188,"((-1) + -2x) = ((-3) + 4x)
",(= (+ (-1) (* (-2) (x))) (+ (-3) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
189,"(-1) = (-2x + (-3))
",(= (-1) (+ (* (-2) (x)) (-3))),True,x = -1,(= (x) (-1))
190,"(-1x + (-2)) = 3
",(= (+ (* (-1) (x)) (-2)) (3)),True,x = -5,(= (x) (-5))
191,"(1x + 2) = (3 + 4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (4) (x)))),True,x = -1/3,(= (x) (/ (-1) (3)))
192,"((1x + 2) + 3x) = 4
",(= (+ (+ (* (1) (x)) (2)) (* (3) (x))) (4)),True,x = 1/2,(= (x) (/ (1) (2)))
193,"(-1x + 2) = (-3x - 4)
",(= (+ (* (-1) (x)) (2)) (- (* (-3) (x)) (4))),True,x = -3,(= (x) (-3))
194,"1 = ((-2x + 3) + 4x)
",(= (1) (+ (+ (* (-2) (x)) (3)) (* (4) (x)))),True,x = -1,(= (x) (-1))
195,"(1 + -2x) = (-3x + 4)
",(= (+ (1) (* (-2) (x))) (+ (* (-3) (x)) (4))),True,x = 3,(= (x) (3))
196,"-1x = (2 - 3)
",(= (* (-1) (x)) (- (2) (3))),True,x = 1,(= (x) (1))
197,"(((-1) / x) + 2) = (-3)
",(= (+ (/ (-1) (x)) (2)) (-3)),True,x = 1/5,(= (x) (/ (1) (5)))
198,"(-1) = (((-2) / x) + (-3))
",(= (-1) (+ (/ (-2) (x)) (-3))),True,x = -1,(= (x) (-1))
199,"((-1) + 2) = (3 / x)
",(= (+ (-1) (2)) (/ (3) (x))),True,x = 3,(= (x) (3))
200,"(1 + 2x) = (-3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (-3) (x)) (-4))),True,x = -1,(= (x) (-1))
201,"(-1) = (2x - 3)
",(= (-1) (- (* (2) (x)) (3))),True,x = 1,(= (x) (1))
202,"-1x = ((-2x + 3) + 4)
",(= (* (-1) (x)) (+ (+ (* (-2) (x)) (3)) (4))),True,x = 7,(= (x) (7))
203,"((1 - 2x) - 3) = ((4 + 5x) - 6)
",(= (- (- (1) (* (2) (x))) (3)) (- (+ (4) (* (5) (x))) (6))),True,x = 0,(= (x) (0))
204,"(1x + (-2)) = (3 + 4x)
",(= (+ (* (1) (x)) (-2)) (+ (3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
205,"(((-1) + 2x) + 3) = (4 + 5)
",(= (+ (+ (-1) (* (2) (x))) (3)) (+ (4) (5))),True,x = 7/2,(= (x) (/ (7) (2)))
206,"((-1x + 2) + 3x) = (((-4) - 5x) + 6x)
",(= (+ (+ (* (-1) (x)) (2)) (* (3) (x))) (+ (- (-4) (* (5) (x))) (* (6) (x)))),True,x = -6,(= (x) (-6))
207,"(-1) = (-2x - 3)
",(= (-1) (- (* (-2) (x)) (3))),True,x = -1,(= (x) (-1))
208,"((1x + 2) - 3x) = (4x - 5x)
",(= (- (+ (* (1) (x)) (2)) (* (3) (x))) (- (* (4) (x)) (* (5) (x)))),True,x = 2,(= (x) (2))
209,"(-1) = (2 + -3x)
",(= (-1) (+ (2) (* (-3) (x)))),True,x = 1,(= (x) (1))
210,"1x = (2 + 3x)
",(= (* (1) (x)) (+ (2) (* (3) (x)))),True,x = -1,(= (x) (-1))
211,"((-1) + 2x) = (3x + 4)
",(= (+ (-1) (* (2) (x))) (+ (* (3) (x)) (4))),True,x = -5,(= (x) (-5))
212,"(-1x + (-2)) = (3 + 4x)
",(= (+ (* (-1) (x)) (-2)) (+ (3) (* (4) (x)))),True,x = -1,(= (x) (-1))
213,"(-1) = ((2x - 3) + 4x)
",(= (-1) (+ (- (* (2) (x)) (3)) (* (4) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
214,"1 = (2 - (3 / x))
",(= (1) (- (2) (/ (3) (x)))),True,x = 3,(= (x) (3))
215,"(1 + 2x) = (3x + (-4))
",(= (+ (1) (* (2) (x))) (+ (* (3) (x)) (-4))),True,x = 5,(= (x) (5))
216,"((-1x - 2) + 3x) = 4
",(= (+ (- (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = 3,(= (x) (3))
217,"(1 + -2x) = (3x + (-4))
",(= (+ (1) (* (-2) (x))) (+ (* (3) (x)) (-4))),True,x = 1,(= (x) (1))
218,"1 = ((-2) + 3x)
",(= (1) (+ (-2) (* (3) (x)))),True,x = 1,(= (x) (1))
219,"(1 + 2x) = (-3)
",(= (+ (1) (* (2) (x))) (-3)),True,x = -2,(= (x) (-2))
220,"((1 / x) + 2) = 3
",(= (+ (/ (1) (x)) (2)) (3)),True,x = 1,(= (x) (1))
221,"(1 + (2 / x)) = (-3)
",(= (+ (1) (/ (2) (x))) (-3)),True,x = -1/2,(= (x) (/ (-1) (2)))
222,"((-1) - 2x) = (-3x - 4)
",(= (- (-1) (* (2) (x))) (- (* (-3) (x)) (4))),True,x = -3,(= (x) (-3))
223,"((-1) + ((-2) / x)) = 3
",(= (+ (-1) (/ (-2) (x))) (3)),True,x = -1/2,(= (x) (/ (-1) (2)))
224,"(1x + 2) = 3
",(= (+ (* (1) (x)) (2)) (3)),True,x = 1,(= (x) (1))
225,"((-1) + (2 / x)) = (-3)
",(= (+ (-1) (/ (2) (x))) (-3)),True,x = -1,(= (x) (-1))
226,"1 = (2 + -3x)
",(= (1) (+ (2) (* (-3) (x)))),True,x = 1/3,(= (x) (/ (1) (3)))
227,"((-1) - 2x) = ((-3) - 4x)
",(= (- (-1) (* (2) (x))) (- (-3) (* (4) (x)))),True,x = -1,(= (x) (-1))
228,"(-1x + (-2)) = (3x + (-4))
",(= (+ (* (-1) (x)) (-2)) (+ (* (3) (x)) (-4))),True,x = 1/2,(= (x) (/ (1) (2)))
229,"(-1) = (-2x + 3x)
",(= (-1) (+ (* (-2) (x)) (* (3) (x)))),True,x = -1,(= (x) (-1))
230,"(1 + ((-2) / x)) = 3
",(= (+ (1) (/ (-2) (x))) (3)),True,x = -1,(= (x) (-1))
231,"-1x = ((2x - 3) - 4)
",(= (* (-1) (x)) (- (- (* (2) (x)) (3)) (4))),True,x = 7/3,(= (x) (/ (7) (3)))
232,"((-1) + 2x) = (-3x - 4)
",(= (+ (-1) (* (2) (x))) (- (* (-3) (x)) (4))),True,x = -3/5,(= (x) (/ (-3) (5)))
233,"(-1x + (-2)) = (3 + -4x)
",(= (+ (* (-1) (x)) (-2)) (+ (3) (* (-4) (x)))),True,x = 5/3,(= (x) (/ (5) (3)))
234,"(-1) = (((-2) - 3x) + 4x)
",(= (-1) (+ (- (-2) (* (3) (x))) (* (4) (x)))),True,x = 1,(= (x) (1))
235,"(-1) = 2x
",(= (-1) (* (2) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
236,"(-1) = -2x
",(= (-1) (* (-2) (x))),True,x = 1/2,(= (x) (/ (1) (2)))
237,"-1x = (((-2) + -3x) - 4)
",(= (* (-1) (x)) (- (+ (-2) (* (-3) (x))) (4))),True,x = -3,(= (x) (-3))
238,"(((1 / x) - 2) * x) = -3x
",(= (* (- (/ (1) (x)) (2)) (x)) (* (-3) (x))),True,x = -1,(= (x) (-1))
239,"(-1) = (2 + (3 / x))
",(= (-1) (+ (2) (/ (3) (x)))),True,x = -1,(= (x) (-1))
240,"((1 + 2x) + 3x) = 4
",(= (+ (+ (1) (* (2) (x))) (* (3) (x))) (4)),True,x = 3/5,(= (x) (/ (3) (5)))
241,"(1 + 2x) = ((-3) + -4x)
",(= (+ (1) (* (2) (x))) (+ (-3) (* (-4) (x)))),True,x = -2/3,(= (x) (/ (-2) (3)))
242,"1x = (-2x + 3)
",(= (* (1) (x)) (+ (* (-2) (x)) (3))),True,x = 1,(= (x) (1))
243,"(1x + 2) = (3 + -4x)
",(= (+ (* (1) (x)) (2)) (+ (3) (* (-4) (x)))),True,x = 1/5,(= (x) (/ (1) (5)))
244,"(1 / (-2)) = x
",(= (/ (1) (-2)) (x)),True,x = -1/2,(= (x) (/ (-1) (2)))
245,"(-1x + 2) = (-3x + (-4))
",(= (+ (* (-1) (x)) (2)) (+ (* (-3) (x)) (-4))),True,x = -3,(= (x) (-3))
246,"(1 / x) = ((-2) - 3)
",(= (/ (1) (x)) (- (-2) (3))),True,x = -1/5,(= (x) (/ (-1) (5)))
247,"(-1x - 2x) = ((-3) + 4)
",(= (- (* (-1) (x)) (* (2) (x))) (+ (-3) (4))),True,x = -1/3,(= (x) (/ (-1) (3)))
248,"((-1x + 2) + 3) = -4x
",(= (+ (+ (* (-1) (x)) (2)) (3)) (* (-4) (x))),True,x = -5/3,(= (x) (/ (-5) (3)))
249,"(1 + -2x) = (3 + -4x)
",(= (+ (1) (* (-2) (x))) (+ (3) (* (-4) (x)))),True,x = 1,(= (x) (1))
250,"-1x = ((-2) + 3x)
",(= (* (-1) (x)) (+ (-2) (* (3) (x)))),True,x = 1/2,(= (x) (/ (1) (2)))
251,"((-1) + 2x) = (3 + -4x)
",(= (+ (-1) (* (2) (x))) (+ (3) (* (-4) (x)))),True,x = 2/3,(= (x) (/ (2) (3)))
252,"(1x + (-2)) = (3x + 4)
",(= (+ (* (1) (x)) (-2)) (+ (* (3) (x)) (4))),True,x = -3,(= (x) (-3))
253,"-1x = 2
",(= (* (-1) (x)) (2)),True,x = -2,(= (x) (-2))
254,"(-1x + (-2)) = (-3x + 4)
",(= (+ (* (-1) (x)) (-2)) (+ (* (-3) (x)) (4))),True,x = 3,(= (x) (3))
255,"((-1) / (-2)) = x
",(= (/ (-1) (-2)) (x)),True,x = 1/2,(= (x) (/ (1) (2)))
256,"(1 / x) = (-2)
",(= (/ (1) (x)) (-2)),True,x = -1/2,(= (x) (/ (-1) (2)))
257,"((-1) + -2x) = 3
",(= (+ (-1) (* (-2) (x))) (3)),True,x = -2,(= (x) (-2))
258,"((-1) - 2) = ((-3x + 4) - 5)
",(= (- (-1) (2)) (- (+ (* (-3) (x)) (4)) (5))),True,x = 2/3,(= (x) (/ (2) (3)))
259,"(-1x - 2) = 3x
",(= (- (* (-1) (x)) (2)) (* (3) (x))),True,x = -1/2,(= (x) (/ (-1) (2)))
260,"1 = ((2 / x) + 3)
",(= (1) (+ (/ (2) (x)) (3))),True,x = -1,(= (x) (-1))
261,"1x = ((-2) - 3)
",(= (* (1) (x)) (- (-2) (3))),True,x = -5,(= (x) (-5))
262,"(1x - 2) = (3x - 4)
",(= (- (* (1) (x)) (2)) (- (* (3) (x)) (4))),True,x = 1,(= (x) (1))
263,"(-1x + 2x) = ((-3) - 4)
",(= (+ (* (-1) (x)) (* (2) (x))) (- (-3) (4))),True,x = -7,(= (x) (-7))
264,"(-1) = (2x + (-3))
",(= (-1) (+ (* (2) (x)) (-3))),True,x = 1,(= (x) (1))
265,"(1x - 2) = (-3)
",(= (- (* (1) (x)) (2)) (-3)),True,x = -1,(= (x) (-1))
266,"(1x + (-2)) = 3
",(= (+ (* (1) (x)) (-2)) (3)),True,x = 5,(= (x) (5))
267,"(((-1) - 2x) - 3) = 4x
",(= (- (- (-1) (* (2) (x))) (3)) (* (4) (x))),True,x = -2/3,(= (x) (/ (-2) (3)))
268,"(((1 / x) * x) + 2x) = 3x
",(= (+ (* (/ (1) (x)) (x)) (* (2) (x))) (* (3) (x))),True,x = 1,(= (x) (1))
269,"(((-1) - 2x) + 3x) = 4
",(= (+ (- (-1) (* (2) (x))) (* (3) (x))) (4)),True,x = 5,(= (x) (5))
270,"(-1x + 2) = ((-3) - 4x)
",(= (+ (* (-1) (x)) (2)) (- (-3) (* (4) (x)))),True,x = -5/3,(= (x) (/ (-5) (3)))
271,"x = ((-1) / (-2))
",(= (x) (/ (-1) (-2))),True,x = 1/2,(= (x) (/ (1) (2)))
272,"(1x + (-2)) = (-3)
",(= (+ (* (1) (x)) (-2)) (-3)),True,x = -1,(= (x) (-1))
273,"x = ((-1) / 2)
",(= (x) (/ (-1) (2))),True,x = -1/2,(= (x) (/ (-1) (2)))
274,"((-1) / x) = 2
",(= (/ (-1) (x)) (2)),True,x = -1/2,(= (x) (/ (-1) (2)))
275,"((-1x - 2) - 3x) = 4
",(= (- (- (* (-1) (x)) (2)) (* (3) (x))) (4)),True,x = -3/2,(= (x) (/ (-3) (2)))
276,"1x = (2x - 3)
",(= (* (1) (x)) (- (* (2) (x)) (3))),True,x = 3,(= (x) (3))
277,"((-1x - 1x) + 2) = (-3)
",(= (+ (- (* (-1) (x)) (* (1) (x))) (2)) (-3)),True,x = 5/2,(= (x) (/ (5) (2)))
278,"(1x - -2x) = ((-3x + 4) - -5x)
",(= (- (* (1) (x)) (* (-2) (x))) (- (+ (* (-3) (x)) (4)) (* (-5) (x)))),True,x = 4,(= (x) (4))
279,"1x = ((2x - 3) - 4)
",(= (* (1) (x)) (- (- (* (2) (x)) (3)) (4))),True,x = 7,(= (x) (7))
280,"(1 - 2x) = (3x - 4)
",(= (- (1) (* (2) (x))) (- (* (3) (x)) (4))),True,x = 1,(= (x) (1))
281,"-1x = ((2 - 3x) + 4)
",(= (* (-1) (x)) (+ (- (2) (* (3) (x))) (4))),True,x = 3,(= (x) (3))
282,"((-1) + 2x) = (-3x + 4)
",(= (+ (-1) (* (2) (x))) (+ (* (-3) (x)) (4))),True,x = 1,(= (x) (1))
283,x = (1 / 2),(= (x) (/ (1) (2))),True,x = 1/2,(= (x) (/ (1) (2)))
