,Equation Number,Equation Output
0,0,"(1 / 2) = x
 | Nonex = (1 / 2) | reflx = [1/2] | eval 0.1, (1 / 2)"
1,21,"((-1) / 2) = x
 | Nonex = ((-1) / 2) | reflx = ([-1/2]) | eval 0.1, ((-1) / 2)"
2,28,"(-1x + 2x) = (-3)
 | None(((-1) + 2) * x) = (-3) | dist 0.0, (-1x + 2x)1x = (-3) | eval 0.0.0, ((-1) + 2)x = (-3) | mul1 0.0, 1x"
3,49,"(-1x + 2x) = ((-3) + 4)
 | None(((-1) + 2) * x) = ((-3) + 4) | dist 0.0, (-1x + 2x)1x = ((-3) + 4) | eval 0.0.0, ((-1) + 2)1x = 1 | eval 0.1, ((-3) + 4)x = 1 | mul1 0.0, 1x"
4,50,"1x = (2 + 3)
 | None1x = 5 | eval 0.1, (2 + 3)x = 5 | mul1 0.0, 1x"
5,65,"((1 - 2) / 3) = x
 | Nonex = ((1 - 2) / 3) | reflx = ((-1) / 3) | eval 0.1.0, (1 - 2)x = ([-1/3]) | eval 0.1, ((-1) / 3)"
6,82,"(-1) = x
 | Nonex = (-1) | refl"
7,85,"x = ((1 - 2) / (-3))
 | Nonex = ((-1) / (-3)) | eval 0.1.0, (1 - 2)x = [1/3] | eval 0.1, ((-1) / (-3))"
8,87,"1x = (2x / x)
 | None1x = (2 * (x / x)) | assoc 0.1, (2x / x)1x = (2 * 1) | div_self 0.1.1, (x / x)1x = 2 | eval 0.1, (2 * 1)x = 2 | mul1 0.0, 1x"
9,100,"x = (((-1) + 2) / 3)
 | Nonex = (1 / 3) | eval 0.1.0, ((-1) + 2)x = [1/3] | eval 0.1, (1 / 3)"
10,102,"-1x = ((2 / x) * x)
 | None-1x = (x * (2 / x)) | comm 0.1, ((2 / x) * x)(x * (2 / x)) = -1x | refl((x * (2 / x)) * (-1)) = (-1x * (-1)) | mul (-1)(x * ((2 / x) * (-1))) = (-1x * (-1)) | assoc 0.0, ((x * (2 / x)) * (-1))(x * ((2 / x) * (-1))) = ((-1) * -1x) | comm 0.1, (-1x * (-1))(x * ((2 / x) * (-1))) = (((-1) * (-1)) * x) | assoc 0.1, ((-1) * -1x)((x * (2 / x)) * (-1)) = (((-1) * (-1)) * x) | assoc 0.0, (x * ((2 / x) * (-1)))(((-1) * (-1)) * x) = ((x * (2 / x)) * (-1)) | refl(((-1) * (-1)) * x) = ((-1) * (x * (2 / x))) | comm 0.1, ((x * (2 / x)) * (-1))(((-1) * (-1)) * x) = (-1x * (2 / x)) | assoc 0.1, ((-1) * (x * (2 / x)))(((-1) * (-1)) * x) = ((-1x * 2) / x) | assoc 0.1, (-1x * (2 / x))(((-1) * (-1)) * x) = ((2 * -1x) / x) | comm 0.1.0, (-1x * 2)(((-1) * (-1)) * x) = (((2 * (-1)) * x) / x) | assoc 0.1.0, (2 * -1x)(((-1) * (-1)) * x) = ((2 * (-1)) * (x / x)) | assoc 0.1, (((2 * (-1)) * x) / x)(((-1) * (-1)) * x) = ((2 * (-1)) * 1) | div_self 0.1.1, (x / x)1x = ((2 * (-1)) * 1) | eval 0.0.0, ((-1) * (-1))1x = ((-2) * 1) | eval 0.1.0, (2 * (-1))1x = (-2) | eval 0.1, ((-2) * 1)x = (-2) | mul1 0.0, 1x"
11,103,"((-1) - 2) = (3x - 4x)
 | None((-1) - 2) = ((3 - 4) * x) | dist 0.1, (3x - 4x)((3 - 4) * x) = ((-1) - 2) | refl-1x = ((-1) - 2) | eval 0.0.0, (3 - 4)-1x = (-3) | eval 0.1, ((-1) - 2)(x * (-1)) = (-3) | comm 0.0, -1x((x * (-1)) * (-1)) = ((-3) * (-1)) | mul (-1)(x * ((-1) * (-1))) = ((-3) * (-1)) | assoc 0.0, ((x * (-1)) * (-1))(((-1) * (-1)) * x) = ((-3) * (-1)) | comm 0.0, (x * ((-1) * (-1)))1x = ((-3) * (-1)) | eval 0.0.0, ((-1) * (-1))1x = 3 | eval 0.1, ((-3) * (-1))x = 3 | mul1 0.0, 1x"
12,105,"1x = 2
 | Nonex = 2 | mul1 0.0, 1x"
13,111,"-1x = (2 + 3)
 | None-1x = 5 | eval 0.1, (2 + 3)(x * (-1)) = 5 | comm 0.0, -1x((x * (-1)) * (-1)) = (5 * (-1)) | mul (-1)(x * ((-1) * (-1))) = (5 * (-1)) | assoc 0.0, ((x * (-1)) * (-1))(((-1) * (-1)) * x) = (5 * (-1)) | comm 0.0, (x * ((-1) * (-1)))1x = (5 * (-1)) | eval 0.0.0, ((-1) * (-1))1x = (-5) | eval 0.1, (5 * (-1))x = (-5) | mul1 0.0, 1x"
14,129,"1 = (2x - 3x)
 | None1 = ((2 - 3) * x) | dist 0.1, (2x - 3x)((2 - 3) * x) = 1 | refl-1x = 1 | eval 0.0.0, (2 - 3)(x * (-1)) = 1 | comm 0.0, -1x((x * (-1)) * (-1)) = (1 * (-1)) | mul (-1)(x * ((-1) * (-1))) = (1 * (-1)) | assoc 0.0, ((x * (-1)) * (-1))(((-1) * (-1)) * x) = (1 * (-1)) | comm 0.0, (x * ((-1) * (-1)))1x = (1 * (-1)) | eval 0.0.0, ((-1) * (-1))1x = (-1) | eval 0.1, (1 * (-1))x = (-1) | mul1 0.0, 1x"
15,133,"x = ((1 + 2) / 3)
 | Nonex = (3 / 3) | eval 0.1.0, (1 + 2)x = 1 | eval 0.1, (3 / 3)"
16,185,"1x = (-2)
 | Nonex = (-2) | mul1 0.0, 1x"
17,187,"1x = (2 - 3)
 | None1x = (-1) | eval 0.1, (2 - 3)x = (-1) | mul1 0.0, 1x"
18,196,"-1x = (2 - 3)
 | None-1x = (-1) | eval 0.1, (2 - 3)(x * (-1)) = (-1) | comm 0.0, -1x((x * (-1)) * (-1)) = ((-1) * (-1)) | mul (-1)(x * ((-1) * (-1))) = ((-1) * (-1)) | assoc 0.0, ((x * (-1)) * (-1))(((-1) * (-1)) * x) = ((-1) * (-1)) | comm 0.0, (x * ((-1) * (-1)))1x = ((-1) * (-1)) | eval 0.0.0, ((-1) * (-1))1x = 1 | eval 0.1, ((-1) * (-1))x = 1 | mul1 0.0, 1x"
19,229,"(-1) = (-2x + 3x)
 | None(-1) = (((-2) + 3) * x) | dist 0.1, (-2x + 3x)(((-2) + 3) * x) = (-1) | refl1x = (-1) | eval 0.0.0, ((-2) + 3)x = (-1) | mul1 0.0, 1x"
20,234,"(-1) = (((-2) - 3x) + 4x)
 | None((-1) - (-2)) = ((((-2) - 3x) + 4x) - (-2)) | sub (-2)((-1) - (-2)) = ((((-2) + -3x) + 4x) - (-2)) | subsub 0.1.0.0, ((-2) - 3x)1 = ((((-2) + -3x) + 4x) - (-2)) | eval 0.0, ((-1) - (-2))1 = ((4x + ((-2) + -3x)) - (-2)) | comm 0.1.0, (((-2) + -3x) + 4x)1 = ((4x + (-3x + (-2))) - (-2)) | comm 0.1.0.1, ((-2) + -3x)1 = (((4x + -3x) + (-2)) - (-2)) | assoc 0.1.0, (4x + (-3x + (-2)))1 = ((((4 + (-3)) * x) + (-2)) - (-2)) | dist 0.1.0.0, (4x + -3x)1 = ((1x + (-2)) - (-2)) | eval 0.1.0.0.0, (4 + (-3))1 = (1x + ((-2) - (-2))) | assoc 0.1, ((1x + (-2)) - (-2))1 = (1x + 0) | eval 0.1.1, ((-2) - (-2))(1x + 0) = 1 | refl1x = 1 | add0 0.0, (1x + 0)x = 1 | mul1 0.0, 1x"
21,244,"(1 / (-2)) = x
 | Nonex = (1 / (-2)) | reflx = ([-1/2]) | eval 0.1, (1 / (-2))"
22,255,"((-1) / (-2)) = x
 | Nonex = ((-1) / (-2)) | reflx = [1/2] | eval 0.1, ((-1) / (-2))"
23,261,"1x = ((-2) - 3)
 | None1x = (-5) | eval 0.1, ((-2) - 3)x = (-5) | mul1 0.0, 1x"
24,263,"(-1x + 2x) = ((-3) - 4)
 | None(((-1) + 2) * x) = ((-3) - 4) | dist 0.0, (-1x + 2x)1x = ((-3) - 4) | eval 0.0.0, ((-1) + 2)1x = (-7) | eval 0.1, ((-3) - 4)x = (-7) | mul1 0.0, 1x"
25,269,"(((-1) - 2x) + 3x) = 4
 | None(3x + ((-1) - 2x)) = 4 | comm 0.0, (((-1) - 2x) + 3x)(3x + ((-1) + -2x)) = 4 | subsub 0.0.1, ((-1) - 2x)(3x + (-2x + (-1))) = 4 | comm 0.0.1, ((-1) + -2x)((3x + -2x) + (-1)) = 4 | assoc 0.0, (3x + (-2x + (-1)))(((3 + (-2)) * x) + (-1)) = 4 | dist 0.0.0, (3x + -2x)(1x + (-1)) = 4 | eval 0.0.0.0, (3 + (-2))((-1) + 1x) = 4 | comm 0.0, (1x + (-1))(((-1) + 1x) * 1) = (4 * 1) | mul 1((-1) + 1x) = (4 * 1) | mul1 0.0, (((-1) + 1x) * 1)(1x + (-1)) = (4 * 1) | comm 0.0, ((-1) + 1x)((1x + (-1)) + 1) = ((4 * 1) + 1) | add 1((1x + (-1)) + 1) = ((1 * 4) + 1) | comm 0.1.0, (4 * 1)(1x + ((-1) + 1)) = ((1 * 4) + 1) | assoc 0.0, ((1x + (-1)) + 1)(1x + 0) = ((1 * 4) + 1) | eval 0.0.1, ((-1) + 1)1x = ((1 * 4) + 1) | add0 0.0, (1x + 0)1x = (4 + 1) | eval 0.1.0, (1 * 4)1x = 5 | eval 0.1, (4 + 1)x = 5 | mul1 0.0, 1x"
26,271,"x = ((-1) / (-2))
 | Nonex = [1/2] | eval 0.1, ((-1) / (-2))"
27,273,"x = ((-1) / 2)
 | Nonex = ([-1/2]) | eval 0.1, ((-1) / 2)"
28,283,"x = (1 / 2) | Nonex = [1/2] | eval 0.1, (1 / 2)"
